Date,Adj Close,Close,High,Low,Open,Volume
2024-01-02,364.5894470214844,370.8699951171875,375.8999938964844,366.7699890136719,373.8599853515625,25258600.0
2024-01-03,364.3240661621094,370.6000061035156,373.260009765625,368.510009765625,369.010009765625,23083500.0
2024-01-04,361.7090759277344,367.94000244140625,373.1000061035156,367.1700134277344,370.6700134277344,20901500.0
2024-01-05,361.52227783203125,367.75,372.05999755859375,366.5,368.9700012207031,21004600.0
2024-01-08,368.3447570800781,374.69000244140625,375.20001220703125,369.010009765625,369.29998779296875,23134000.0
2024-01-09,369.4261779785156,375.7900085449219,375.989990234375,371.19000244140625,372.010009765625,20830000.0
2024-01-10,376.28790283203125,382.7699890136719,384.1700134277344,376.32000732421875,376.3699951171875,25514200.0
2024-01-11,378.116455078125,384.6300048828125,390.67999267578125,380.3800048828125,386.0,27850800.0
2024-01-12,381.8914794921875,388.4700012207031,388.67999267578125,384.6499938964844,385.489990234375,21661200.0
2024-01-16,383.6609191894531,390.2699890136719,394.0299987792969,387.6199951171875,393.6600036621094,27202300.0
2024-01-17,382.8744812011719,389.4700012207031,390.1099853515625,384.80999755859375,387.9800109863281,22234100.0
2024-01-18,387.20001220703125,393.8699951171875,393.989990234375,390.1199951171875,391.7200012207031,23392100.0
2024-01-19,391.918701171875,398.6700134277344,398.6700134277344,393.5,395.760009765625,29331100.0
2024-01-22,389.7952880859375,396.510009765625,400.6199951171875,393.5899963378906,400.0199890136719,27016900.0
2024-01-23,392.144775390625,398.8999938964844,399.3800048828125,393.92999267578125,395.75,20525900.0
2024-01-24,395.7427673339844,402.55999755859375,405.6300048828125,400.45001220703125,401.5400085449219,24867000.0
2024-01-25,398.0137023925781,404.8699951171875,407.010009765625,402.5299987792969,404.32000732421875,21021200.0
2024-01-26,397.0896301269531,403.92999267578125,406.1700134277344,402.42999267578125,404.3699951171875,17803300.0
2024-01-29,402.781494140625,409.7200012207031,409.9800109863281,404.3299865722656,406.05999755859375,24510200.0
2024-01-30,401.670654296875,408.5899963378906,413.04998779296875,406.45001220703125,412.260009765625,33477600.0
2024-01-31,390.8471374511719,397.5799865722656,415.32000732421875,397.2099914550781,406.9599914550781,47871100.0
2024-02-01,396.9421081542969,403.7799987792969,408.0,401.79998779296875,401.8299865722656,30657700.0
2024-02-02,404.2561340332031,411.2200012207031,412.6499938964844,403.55999755859375,403.80999755859375,28256700.0
2024-02-05,398.78045654296875,405.6499938964844,411.1600036621094,403.989990234375,409.8999938964844,25352300.0
2024-02-06,398.6231689453125,405.489990234375,407.9700012207031,402.9100036621094,405.8800048828125,18382600.0
2024-02-07,407.0382385253906,414.04998779296875,414.29998779296875,407.3999938964844,407.44000244140625,22340500.0
2024-02-08,407.09722900390625,414.1099853515625,415.55999755859375,412.5299987792969,414.04998779296875,21225300.0
2024-02-09,413.4281311035156,420.54998779296875,420.82000732421875,415.0899963378906,415.25,22032800.0
2024-02-12,408.22772216796875,415.260009765625,420.739990234375,414.75,420.55999755859375,21202900.0
2024-02-13,399.43914794921875,406.32000732421875,410.07000732421875,403.3900146484375,404.94000244140625,27824900.0
2024-02-14,403.29986572265625,409.489990234375,409.8399963378906,404.57000732421875,408.07000732421875,20401200.0
2024-02-15,400.4141540527344,406.55999755859375,409.1300048828125,404.2900085449219,408.1400146484375,21825500.0
2024-02-16,397.95196533203125,404.05999755859375,408.2900085449219,403.44000244140625,407.9599914550781,22296500.0
2024-02-20,396.7011413574219,402.7900085449219,404.489990234375,398.010009765625,403.239990234375,24307900.0
2024-02-21,396.1003723144531,402.17999267578125,402.2900085449219,397.2200012207031,400.1700134277344,18518900.0
2024-02-22,405.42724609375,411.6499938964844,412.8299865722656,408.57000732421875,410.19000244140625,27009900.0
2024-02-23,404.1369934082031,410.3399963378906,415.8599853515625,408.9700012207031,415.6700134277344,16295900.0
2024-02-26,401.37939453125,407.5400085449219,412.1600036621094,407.3599853515625,411.4599914550781,16193500.0
2024-02-27,401.3202819824219,407.4800109863281,408.32000732421875,403.8500061035156,407.989990234375,14835800.0
2024-02-28,401.556640625,407.7200012207031,409.29998779296875,405.32000732421875,408.17999267578125,13183100.0
2024-02-29,407.38714599609375,413.6400146484375,414.20001220703125,405.9200134277344,408.6400146484375,31947300.0
2024-03-01,409.2190246582031,415.5,415.8699951171875,410.8800048828125,411.2699890136719,17823400.0
2024-03-04,408.6478271484375,414.9200134277344,417.3500061035156,412.32000732421875,413.44000244140625,17596000.0
2024-03-05,396.563232421875,402.6499938964844,414.25,400.6400146484375,413.9599914550781,26919200.0
